area,res_value_marla,com_value_marla,address
EDEN DEVELOPERS PVT. RAKH KHAMBA,"345,600","592,800","EDEN+DEVELOPERS+PVT.+RAKH+KHAMBA,LAHORE+,PAKISTAN"
EDEN VALUE HOMES SHAHPUR KHANPUR,"367,500","559,200","EDEN+VALUE+HOMES+SHAHPUR+KHANPUR,LAHORE+,PAKISTAN"
FAISAL GARDEN AJODIAPUR,"477,600","942,600","FAISAL+GARDEN+AJODIAPUR,LAHORE+,PAKISTAN"
GOVERNMENT SUPERIOR SERVICES MARAKA,"222,000","358,200","GOVERNMENT+SUPERIOR+SERVICES+MARAKA,LAHORE+,PAKISTAN"
GULSHAN MUSTAFA SCEHME AJODIAPUR,"477,600","899,700","GULSHAN+MUSTAFA+SCEHME+AJODIAPUR,LAHORE+,PAKISTAN"
TFIAQ TOWN NIAZ BEG,"349,800","547,200","TFIAQ+TOWN+NIAZ+BEG,LAHORE+,PAKISTAN"
JAFFAR TOWN RAKH KHAMBA,"302,700","592,800","JAFFAR+TOWN+RAKH+KHAMBA,LAHORE+,PAKISTAN"
JOHAR VILLAS DHAN SINGH WALA,"413,700","771,900","JOHAR+VILLAS+DHAN+SINGH+WALA,LAHORE+,PAKISTAN"
JURIST HOMES SHAHPUR KHANPUR,"260,250","447,750","JURIST+HOMES+SHAHPUR+KHANPUR,LAHORE+,PAKISTAN"
KAMBOH COLONY CHUNG PUNJGRAIN,"413,700","708,000","KAMBOH+COLONY+CHUNG+PUNJGRAIN,LAHORE+,PAKISTAN"
KHYABAN E IQBAL MANGA MANDI MANGA,"149,250","298,500","KHYABAN+E+IQBAL+MANGA+MANDI+MANGA,LAHORE+,PAKISTAN"
